       wId wName                                          wCap        sId        nId
       149 Supplier#000000050 GERMANY                     3105         50          7
       150 Supplier#000000050 EGYPT                       3105         50          4
       151 Supplier#000000051 CANADA                      4146         51          3
       152 Supplier#000000051 SAUDI ARABIA                4146         51         20
       153 Supplier#000000051 EGYPT                       4146         51          4
       154 Supplier#000000052 CANADA                      3027         52          3
       155 Supplier#000000052 EGYPT                       3027         52          4
       156 Supplier#000000052 IRAN                        3027         52         10
       157 Supplier#000000053 JAPAN                       2841         53         12
       158 Supplier#000000053 BRAZIL                      2841         53          2
       159 Supplier#000000053 CANADA                      2841         53          3
       160 Supplier#000000054 BRAZIL                      2838         54          2
       161 Supplier#000000054 SAUDI ARABIA                2838         54         20
       162 Supplier#000000054 ALGERIA                     2838         54          0
       163 Supplier#000000055 UNITED KINGDOM              3027         55         23
       164 Supplier#000000055 IRAQ                        3027         55         11
       165 Supplier#000000055 BRAZIL                      3027         55          2
       166 Supplier#000000056 MOROCCO                     3114         56         15
       167 Supplier#000000056 EGYPT                       3114         56          4
       168 Supplier#000000056 SAUDI ARABIA                3114         56         20
       169 Supplier#000000057 CANADA                      2538         57          3
       170 Supplier#000000057 GERMANY                     2538         57          7
       171 Supplier#000000057 ALGERIA                     2538         57          0
       172 Supplier#000000058 ALGERIA                     2619         58          0
       173 Supplier#000000058 EGYPT                       2619         58          4
       174 Supplier#000000058 VIETNAM                     2619         58         21
       175 Supplier#000000059 CANADA                      3012         59          3
       176 Supplier#000000059 IRAN                        3012         59         10
       177 Supplier#000000059 ALGERIA                     3012         59          0
       178 Supplier#000000060 IRAN                        2802         60         10
       179 Supplier#000000060 GERMANY                     2802         60          7
       180 Supplier#000000060 ROMANIA                     2802         60         19
       181 Supplier#000000061 EGYPT                       2895         61          4
       182 Supplier#000000061 IRAN                        2895         61         10
       183 Supplier#000000061 MOZAMBIQUE                  2895         61         16
       184 Supplier#000000062 INDONESIA                   2799         62          9
       185 Supplier#000000062 EGYPT                       2799         62          4
       186 Supplier#000000062 SAUDI ARABIA                2799         62         20
       187 Supplier#000000063 IRAN                        2778         63         10
       188 Supplier#000000063 MOZAMBIQUE                  2778         63         16
       189 Supplier#000000063 SAUDI ARABIA                2778         63         20
       190 Supplier#000000064 CANADA                      3276         64          3
       191 Supplier#000000064 IRAN                        3276         64         10
       192 Supplier#000000064 VIETNAM                     3276         64         21
       193 Supplier#000000065 CANADA                      2469         65          3
       194 Supplier#000000065 IRAN                        2469         65         10
       195 Supplier#000000065 UNITED KINGDOM              2469         65         23
       196 Supplier#000000066 EGYPT                       3495         66          4
       197 Supplier#000000066 CANADA                      3495         66          3
       198 Supplier#000000066 ALGERIA                     3495         66          0
       199 Supplier#000000067 CANADA                      2520         67          3
       200 Supplier#000000067 UNITED KINGDOM              2520         67         23
       201 Supplier#000000067 MOROCCO                     2520         67         15
       202 Supplier#000000068 CANADA                      3162         68          3
       203 Supplier#000000068 ETHIOPIA                    3162         68          5
       204 Supplier#000000068 EGYPT                       3162         68          4
       205 Supplier#000000069 CANADA                      2655         69          3
       206 Supplier#000000069 BRAZIL                      2655         69          2
       207 Supplier#000000069 ETHIOPIA                    2655         69          5
       208 Supplier#000000070 INDONESIA                   2670         70          9
       209 Supplier#000000070 ROMANIA                     2670         70         19
       210 Supplier#000000070 IRAN                        2670         70         10
       211 Supplier#000000071 CANADA                      3267         71          3
       212 Supplier#000000071 ALGERIA                     3267         71          0
       213 Supplier#000000071 EGYPT                       3267         71          4
       214 Supplier#000000072 CANADA                      2748         72          3
       215 Supplier#000000072 EGYPT                       2748         72          4
       216 Supplier#000000072 IRAN                        2748         72         10
       217 Supplier#000000073 BRAZIL                      3882         73          2
       218 Supplier#000000073 JAPAN                       3882         73         12
       219 Supplier#000000073 SAUDI ARABIA                3882         73         20
       220 Supplier#000000074 IRAN                        2502         74         10
       221 Supplier#000000074 CANADA                      2502         74          3
       222 Supplier#000000074 JAPAN                       2502         74         12
       223 Supplier#000000075 BRAZIL                      3150         75          2
       224 Supplier#000000075 SAUDI ARABIA                3150         75         20
       225 Supplier#000000075 GERMANY                     3150         75          7
       226 Supplier#000000076 IRAN                        2775         76         10
       227 Supplier#000000076 BRAZIL                      2775         76          2
       228 Supplier#000000076 EGYPT                       2775         76          4
       229 Supplier#000000077 EGYPT                       3201         77          4
       230 Supplier#000000077 KENYA                       3201         77         14
       231 Supplier#000000077 JORDAN                      3201         77         13
       232 Supplier#000000078 CANADA                      2946         78          3
       233 Supplier#000000078 IRAN                        2946         78         10
       234 Supplier#000000078 ETHIOPIA                    2946         78          5
       235 Supplier#000000079 IRAN                        2946         79         10
       236 Supplier#000000079 ARGENTINA                   2946         79          1
       237 Supplier#000000079 INDONESIA                   2946         79          9
       238 Supplier#000000080 EGYPT                       2550         80          4
       239 Supplier#000000080 BRAZIL                      2550         80          2
       240 Supplier#000000080 IRAN                        2550         80         10
       241 Supplier#000000081 ALGERIA                     2664         81          0
       242 Supplier#000000081 JAPAN                       2664         81         12
       243 Supplier#000000081 BRAZIL                      2664         81          2
       244 Supplier#000000082 CANADA                      3012         82          3
       245 Supplier#000000082 IRAN                        3012         82         10
       246 Supplier#000000082 MOZAMBIQUE                  3012         82         16
       247 Supplier#000000083 BRAZIL                      3024         83          2
       248 Supplier#000000083 EGYPT                       3024         83          4
       249 Supplier#000000083 INDONESIA                   3024         83          9
       250 Supplier#000000084 BRAZIL                      2970         84          2
       251 Supplier#000000084 MOROCCO                     2970         84         15
       252 Supplier#000000084 ALGERIA                     2970         84          0
       253 Supplier#000000085 JORDAN                      2634         85         13
       254 Supplier#000000085 UNITED KINGDOM              2634         85         23
       255 Supplier#000000085 JAPAN                       2634         85         12
       256 Supplier#000000086 EGYPT                       2889         86          4
       257 Supplier#000000086 MOROCCO                     2889         86         15
       258 Supplier#000000086 CANADA                      2889         86          3
       259 Supplier#000000087 EGYPT                       3171         87          4
       260 Supplier#000000087 SAUDI ARABIA                3171         87         20
       261 Supplier#000000087 VIETNAM                     3171         87         21
       262 Supplier#000000088 ALGERIA                     2628         88          0
       263 Supplier#000000088 VIETNAM                     2628         88         21
       264 Supplier#000000088 IRAN                        2628         88         10
       265 Supplier#000000089 ALGERIA                     2904         89          0
       266 Supplier#000000089 IRAN                        2904         89         10
       267 Supplier#000000089 MOZAMBIQUE                  2904         89         16
       268 Supplier#000000090 IRAN                        2787         90         10
       269 Supplier#000000090 MOROCCO                     2787         90         15
       270 Supplier#000000090 SAUDI ARABIA                2787         90         20
       271 Supplier#000000091 ALGERIA                     2544         91          0
       272 Supplier#000000091 KENYA                       2544         91         14
       273 Supplier#000000091 UNITED KINGDOM              2544         91         23
       274 Supplier#000000092 JAPAN                       2541         92         12
       275 Supplier#000000092 ALGERIA                     2541         92          0
       276 Supplier#000000092 ETHIOPIA                    2541         92          5
       277 Supplier#000000093 JORDAN                      2520         93         13
       278 Supplier#000000093 MOROCCO                     2520         93         15
       279 Supplier#000000093 EGYPT                       2520         93          4
       280 Supplier#000000094 BRAZIL                      2970         94          2
       281 Supplier#000000094 EGYPT                       2970         94          4
       282 Supplier#000000094 UNITED KINGDOM              2970         94         23
       283 Supplier#000000095 EGYPT                       2529         95          4
       284 Supplier#000000095 IRAN                        2529         95         10
       285 Supplier#000000095 CANADA                      2529         95          3
       286 Supplier#000000096 MOROCCO                     3081         96         15
       287 Supplier#000000096 CANADA                      3081         96          3
       288 Supplier#000000096 ALGERIA                     3081         96          0
       289 Supplier#000000097 BRAZIL                      2967         97          2
       290 Supplier#000000097 JAPAN                       2967         97         12
       291 Supplier#000000097 EGYPT                       2967         97          4
       292 Supplier#000000098 CANADA                      2808         98          3
       293 Supplier#000000098 IRAN                        2808         98         10
       294 Supplier#000000098 ALGERIA                     2808         98          0
       295 Supplier#000000099 INDONESIA                   3681         99          9
       296 Supplier#000000099 BRAZIL                      3681         99          2
       297 Supplier#000000099 MOROCCO                     3681         99         15
       298 Supplier#000000100 IRAN                        2811        100         10
       299 Supplier#000000100 JAPAN                       2811        100         12
       300 Supplier#000000100 VIETNAM                     2811        100         21
         1 Supplier#000000001 EGYPT                       3066          1          4
         2 Supplier#000000001 ROMANIA                     3066          1         19
         3 Supplier#000000001 MOROCCO                     3066          1         15
         4 Supplier#000000002 VIETNAM                     2814          2         21
         5 Supplier#000000002 SAUDI ARABIA                2814          2         20
         6 Supplier#000000002 INDONESIA                   2814          2          9
         7 Supplier#000000003 ALGERIA                     3009          3          0
         8 Supplier#000000003 JAPAN                       3009          3         12
         9 Supplier#000000003 IRAN                        3009          3         10
        10 Supplier#000000004 CANADA                      3369          4          3
        11 Supplier#000000004 IRAN                        3369          4         10
        12 Supplier#000000004 UNITED KINGDOM              3369          4         23
        13 Supplier#000000005 CANADA                      2595          5          3
        14 Supplier#000000005 EGYPT                       2595          5          4
        15 Supplier#000000005 INDIA                       2595          5          8
        16 Supplier#000000006 IRAN                        2598          6         10
        17 Supplier#000000006 CANADA                      2598          6          3
        18 Supplier#000000006 INDIA                       2598          6          8
        19 Supplier#000000007 CANADA                      2841          7          3
        20 Supplier#000000007 ROMANIA                     2841          7         19
        21 Supplier#000000007 RUSSIA                      2841          7         22
        22 Supplier#000000008 CANADA                      3132          8          3
        23 Supplier#000000008 EGYPT                       3132          8          4
        24 Supplier#000000008 GERMANY                     3132          8          7
        25 Supplier#000000009 EGYPT                       2691          9          4
        26 Supplier#000000009 IRAQ                        2691          9         11
        27 Supplier#000000009 CANADA                      2691          9          3
        28 Supplier#000000010 GERMANY                     2892         10          7
        29 Supplier#000000010 CANADA                      2892         10          3
        30 Supplier#000000010 KENYA                       2892         10         14
        31 Supplier#000000011 EGYPT                       2760         11          4
        32 Supplier#000000011 ROMANIA                     2760         11         19
        33 Supplier#000000011 ALGERIA                     2760         11          0
        34 Supplier#000000012 SAUDI ARABIA                2427         12         20
        35 Supplier#000000012 INDONESIA                   2427         12          9
        36 Supplier#000000012 JAPAN                       2427         12         12
        37 Supplier#000000013 EGYPT                       2808         13          4
        38 Supplier#000000013 MOZAMBIQUE                  2808         13         16
        39 Supplier#000000013 ALGERIA                     2808         13          0
        40 Supplier#000000014 CANADA                      3195         14          3
        41 Supplier#000000014 EGYPT                       3195         14          4
        42 Supplier#000000014 BRAZIL                      3195         14          2
        43 Supplier#000000015 SAUDI ARABIA                3384         15         20
        44 Supplier#000000015 EGYPT                       3384         15          4
        45 Supplier#000000015 IRAN                        3384         15         10
        46 Supplier#000000016 SAUDI ARABIA                2958         16         20
        47 Supplier#000000016 CANADA                      2958         16          3
        48 Supplier#000000016 ALGERIA                     2958         16          0
        49 Supplier#000000017 INDONESIA                   2610         17          9
        50 Supplier#000000017 ROMANIA                     2610         17         19
        51 Supplier#000000017 CANADA                      2610         17          3
        52 Supplier#000000018 ROMANIA                     3069         18         19
        53 Supplier#000000018 CANADA                      3069         18          3
        54 Supplier#000000018 MOROCCO                     3069         18         15
        55 Supplier#000000019 ROMANIA                     3654         19         19
        56 Supplier#000000019 EGYPT                       3654         19          4
        57 Supplier#000000019 INDONESIA                   3654         19          9
        58 Supplier#000000020 BRAZIL                      2862         20          2
        59 Supplier#000000020 UNITED STATES               2862         20         24
        60 Supplier#000000020 ALGERIA                     2862         20          0
        61 Supplier#000000021 CANADA                      2886         21          3
        62 Supplier#000000021 BRAZIL                      2886         21          2
        63 Supplier#000000021 MOZAMBIQUE                  2886         21         16
        64 Supplier#000000022 KENYA                       3261         22         14
        65 Supplier#000000022 VIETNAM                     3261         22         21
        66 Supplier#000000022 ALGERIA                     3261         22          0
        67 Supplier#000000023 EGYPT                       2589         23          4
        68 Supplier#000000023 IRAN                        2589         23         10
        69 Supplier#000000023 SAUDI ARABIA                2589         23         20
        70 Supplier#000000024 INDONESIA                   2682         24          9
        71 Supplier#000000024 ALGERIA                     2682         24          0
        72 Supplier#000000024 IRAN                        2682         24         10
        73 Supplier#000000025 BRAZIL                      2823         25          2
        74 Supplier#000000025 ALGERIA                     2823         25          0
        75 Supplier#000000025 EGYPT                       2823         25          4
        76 Supplier#000000026 EGYPT                       2652         26          4
        77 Supplier#000000026 VIETNAM                     2652         26         21
        78 Supplier#000000026 ETHIOPIA                    2652         26          5
        79 Supplier#000000027 EGYPT                       2796         27          4
        80 Supplier#000000027 IRAN                        2796         27         10
        81 Supplier#000000027 ETHIOPIA                    2796         27          5
        82 Supplier#000000028 MOZAMBIQUE                  3411         28         16
        83 Supplier#000000028 INDONESIA                   3411         28          9
        84 Supplier#000000028 IRAN                        3411         28         10
        85 Supplier#000000029 JAPAN                       2307         29         12
        86 Supplier#000000029 INDONESIA                   2307         29          9
        87 Supplier#000000029 BRAZIL                      2307         29          2
        88 Supplier#000000030 CANADA                      3162         30          3
        89 Supplier#000000030 IRAN                        3162         30         10
        90 Supplier#000000030 ROMANIA                     3162         30         19
        91 Supplier#000000031 ALGERIA                     2400         31          0
        92 Supplier#000000031 IRAN                        2400         31         10
        93 Supplier#000000031 JAPAN                       2400         31         12
        94 Supplier#000000032 CANADA                      2913         32          3
        95 Supplier#000000032 INDIA                       2913         32          8
        96 Supplier#000000032 SAUDI ARABIA                2913         32         20
        97 Supplier#000000033 EGYPT                       2367         33          4
        98 Supplier#000000033 JAPAN                       2367         33         12
        99 Supplier#000000033 CANADA                      2367         33          3
       100 Supplier#000000034 ALGERIA                     2547         34          0
       101 Supplier#000000034 MOZAMBIQUE                  2547         34         16
       102 Supplier#000000034 BRAZIL                      2547         34          2
       103 Supplier#000000035 ROMANIA                     2898         35         19
       104 Supplier#000000035 BRAZIL                      2898         35          2
       105 Supplier#000000035 MOZAMBIQUE                  2898         35         16
       106 Supplier#000000036 ALGERIA                     2256         36          0
       107 Supplier#000000036 BRAZIL                      2256         36          2
       108 Supplier#000000036 MOZAMBIQUE                  2256         36         16
       109 Supplier#000000037 BRAZIL                      3069         37          2
       110 Supplier#000000037 CANADA                      3069         37          3
       111 Supplier#000000037 IRAN                        3069         37         10
       112 Supplier#000000038 JAPAN                       3300         38         12
       113 Supplier#000000038 ROMANIA                     3300         38         19
       114 Supplier#000000038 BRAZIL                      3300         38          2
       115 Supplier#000000039 SAUDI ARABIA                2967         39         20
       116 Supplier#000000039 CANADA                      2967         39          3
       117 Supplier#000000039 IRAQ                        2967         39         11
       118 Supplier#000000040 BRAZIL                      2883         40          2
       119 Supplier#000000040 INDONESIA                   2883         40          9
       120 Supplier#000000040 EGYPT                       2883         40          4
       121 Supplier#000000041 CANADA                      3132         41          3
       122 Supplier#000000041 ALGERIA                     3132         41          0
       123 Supplier#000000041 MOZAMBIQUE                  3132         41         16
       124 Supplier#000000042 EGYPT                       2655         42          4
       125 Supplier#000000042 UNITED KINGDOM              2655         42         23
       126 Supplier#000000042 BRAZIL                      2655         42          2
       127 Supplier#000000043 CANADA                      2988         43          3
       128 Supplier#000000043 BRAZIL                      2988         43          2
       129 Supplier#000000043 ROMANIA                     2988         43         19
       130 Supplier#000000044 MOZAMBIQUE                  3135         44         16
       131 Supplier#000000044 BRAZIL                      3135         44          2
       132 Supplier#000000044 UNITED KINGDOM              3135         44         23
       133 Supplier#000000045 CANADA                      2898         45          3
       134 Supplier#000000045 IRAN                        2898         45         10
       135 Supplier#000000045 INDIA                       2898         45          8
       136 Supplier#000000046 MOZAMBIQUE                  3501         46         16
       137 Supplier#000000046 CANADA                      3501         46          3
       138 Supplier#000000046 JAPAN                       3501         46         12
       139 Supplier#000000047 SAUDI ARABIA                2622         47         20
       140 Supplier#000000047 INDONESIA                   2622         47          9
       141 Supplier#000000047 ALGERIA                     2622         47          0
       142 Supplier#000000048 IRAN                        3408         48         10
       143 Supplier#000000048 JAPAN                       3408         48         12
       144 Supplier#000000048 BRAZIL                      3408         48          2
       145 Supplier#000000049 CANADA                      3030         49          3
       146 Supplier#000000049 UNITED KINGDOM              3030         49         23
       147 Supplier#000000049 EGYPT                       3030         49          4
       148 Supplier#000000050 SAUDI ARABIA                3105         50         20
       149 Supplier#000000050 GERMANY                     3105         50          7
       150 Supplier#000000050 EGYPT                       3105         50          4
       151 Supplier#000000051 CANADA                      4146         51          3
       152 Supplier#000000051 SAUDI ARABIA                4146         51         20
       153 Supplier#000000051 EGYPT                       4146         51          4
       154 Supplier#000000052 CANADA                      3027         52          3
       155 Supplier#000000052 EGYPT                       3027         52          4
       156 Supplier#000000052 IRAN                        3027         52         10
       157 Supplier#000000053 JAPAN                       2841         53         12
       158 Supplier#000000053 BRAZIL                      2841         53          2
       159 Supplier#000000053 CANADA                      2841         53          3
       160 Supplier#000000054 BRAZIL                      2838         54          2
       161 Supplier#000000054 SAUDI ARABIA                2838         54         20
       162 Supplier#000000054 ALGERIA                     2838         54          0
       163 Supplier#000000055 UNITED KINGDOM              3027         55         23
       164 Supplier#000000055 IRAQ                        3027         55         11
       165 Supplier#000000055 BRAZIL                      3027         55          2
       166 Supplier#000000056 MOROCCO                     3114         56         15
       167 Supplier#000000056 EGYPT                       3114         56          4
       168 Supplier#000000056 SAUDI ARABIA                3114         56         20
       169 Supplier#000000057 CANADA                      2538         57          3
       170 Supplier#000000057 GERMANY                     2538         57          7
       171 Supplier#000000057 ALGERIA                     2538         57          0
       172 Supplier#000000058 ALGERIA                     2619         58          0
       173 Supplier#000000058 EGYPT                       2619         58          4
       174 Supplier#000000058 VIETNAM                     2619         58         21
       175 Supplier#000000059 CANADA                      3012         59          3
       176 Supplier#000000059 IRAN                        3012         59         10
       177 Supplier#000000059 ALGERIA                     3012         59          0
       178 Supplier#000000060 IRAN                        2802         60         10
       179 Supplier#000000060 GERMANY                     2802         60          7
       180 Supplier#000000060 ROMANIA                     2802         60         19
       181 Supplier#000000061 EGYPT                       2895         61          4
       182 Supplier#000000061 IRAN                        2895         61         10
       183 Supplier#000000061 MOZAMBIQUE                  2895         61         16
       184 Supplier#000000062 INDONESIA                   2799         62          9
       185 Supplier#000000062 EGYPT                       2799         62          4
       186 Supplier#000000062 SAUDI ARABIA                2799         62         20
       187 Supplier#000000063 IRAN                        2778         63         10
       188 Supplier#000000063 MOZAMBIQUE                  2778         63         16
       189 Supplier#000000063 SAUDI ARABIA                2778         63         20
       190 Supplier#000000064 CANADA                      3276         64          3
       191 Supplier#000000064 IRAN                        3276         64         10
       192 Supplier#000000064 VIETNAM                     3276         64         21
       193 Supplier#000000065 CANADA                      2469         65          3
       194 Supplier#000000065 IRAN                        2469         65         10
       195 Supplier#000000065 UNITED KINGDOM              2469         65         23
       196 Supplier#000000066 EGYPT                       3495         66          4
       197 Supplier#000000066 CANADA                      3495         66          3
       198 Supplier#000000066 ALGERIA                     3495         66          0
       199 Supplier#000000067 CANADA                      2520         67          3
       200 Supplier#000000067 UNITED KINGDOM              2520         67         23
       201 Supplier#000000067 MOROCCO                     2520         67         15
       202 Supplier#000000068 CANADA                      3162         68          3
       203 Supplier#000000068 ETHIOPIA                    3162         68          5
       204 Supplier#000000068 EGYPT                       3162         68          4
       205 Supplier#000000069 CANADA                      2655         69          3
       206 Supplier#000000069 BRAZIL                      2655         69          2
       207 Supplier#000000069 ETHIOPIA                    2655         69          5
       208 Supplier#000000070 INDONESIA                   2670         70          9
       209 Supplier#000000070 ROMANIA                     2670         70         19
       210 Supplier#000000070 IRAN                        2670         70         10
       211 Supplier#000000071 CANADA                      3267         71          3
       212 Supplier#000000071 ALGERIA                     3267         71          0
       213 Supplier#000000071 EGYPT                       3267         71          4
       214 Supplier#000000072 CANADA                      2748         72          3
       215 Supplier#000000072 EGYPT                       2748         72          4
       216 Supplier#000000072 IRAN                        2748         72         10
       217 Supplier#000000073 BRAZIL                      3882         73          2
       218 Supplier#000000073 JAPAN                       3882         73         12
       219 Supplier#000000073 SAUDI ARABIA                3882         73         20
       220 Supplier#000000074 IRAN                        2502         74         10
       221 Supplier#000000074 CANADA                      2502         74          3
       222 Supplier#000000074 JAPAN                       2502         74         12
